cfd_id,station,unit_name
AAA-ACH-183,Achlachan,Achlachan Wind Farm
AAA-BAD-185,Bad A Cheo,Bad A Cheo Wind Farm
AAA-BAN-189,Kype Muir,Kype Muir Wind Farm
AAA-BAN-190,Moor House,Moor House Wind Farm
AAA-BAN-192,Middle Muir,Middle Muir Wind Farm
AAA-BRE-177,Brenig,Brenig Wind Farm
AAA-CAM-197,Triangle,Triangle Farm Solar Park
AAA-CLO-186,Clocaenog,Clocaenog Forest Wind Farm
AAA-COI-196,Coire,Coire Na Cloiche Windfarm
AAA-COM-191,Common Barn,Common Barn Wind Farm
AAA-DOR-182,Dorenell,Dorenell Wind Farm
AAA-ENE-171,Energy Works,Energy Works (Hull)
AAA-ENV-169,Enviroparks,Enviroparks Hirwaun Generation Site
AAA-GEN-188,Wren,Wren Power and Pulp
AAA-K3C-180,K3,K3 CHP Facility
AAA-LIG-176,Charity Farm,Charity Farm
AAA-MYN-178,Mynydd,Mynydd Y Gwair Wind Farm
AAA-NAN-184,Nanclach,Nanclach Wind Farm
AAA-NEA-195,NNG,Neart na Gaoithe
AAA-PNE-187,Tralorg,Tralorg Wind Farm
AAA-REG-175,Netley,Netley Landfill Solar
AAA-ROY-172,BHEG,BHEG Walsall
AAA-SNE-179,Sneddon,Sneddon Law Community Wind Farm
AAA-SOL-181,Solwaybank,Solwaybank Wind Farm
AR2-DRK-414,Drakelow,Drakelow Renewable Energy Centre
AR2-GRN-401,Grangemouth,Grangemouth Renewable Energy Plant
AR2-HRN-106,Hornsea 2,Hornsea Project 2 Phase 1
AR2-HRN-206,Hornsea 2,Hornsea Project 2 Phase 2
AR2-HRN-306,Hornsea 2,Hornsea Project 2 Phase 3
AR2-IFI-410,IPIF,IPIF Fort Industrial REC
AR2-MRY-107,Moray East,Moray Offshore Windfarm (East) Phase 1
AR2-MRY-207,Moray East,Moray Offshore Windfarm (East) Phase 2
AR2-MRY-307,Moray East,Moray Offshore Windfarm (East) Phase 3
AR2-NTC-404,Northacre,Northacre Renewable Energy Centre
AR2-PRO-005,Blackbridge,Blackbridge TGS1 Limited
AR2-RBL-412,Rebellion,Rebellion
AR2-STY-002,Station,Station Yard CFD 1
AR2-TKN-103,Triton Knoll,Triton Knoll Offshore Wind Farm Phase 1
AR2-TKN-203,Triton Knoll,Triton Knoll Offshore Wind Farm Phase 2
AR2-TKN-303,Triton Knoll,Triton Knoll Offshore Wind Farm Phase 3
AR3-BEL-001,Bulwell,Bulwell Energy Limited
AR3-CHW-002,Costa,Costa Head Wind Farm
AR3-DLW-112,Druim,Druim Leathann Wind Farm Limited
AR3-DP1-101,Dogger A,Dogger Bank A P1
AR3-DP1-102,Dogger A,Dogger Bank A P2
AR3-DP1-103,Dogger A,Dogger Bank A P3
AR3-DP2-201,Dogger B,Dogger Bank B P1
AR3-DP2-202,Dogger B,Dogger Bank B P2
AR3-DP2-203,Dogger B,Dogger Bank B P3
AR3-DP3-301,Dogger C,Dogger Bank C P1
AR3-DP3-302,Dogger C,Dogger Bank C P2
AR3-DP3-303,Dogger C,Dogger Bank C P3
AR3-FWL-321,Forthwind,Forthwind
AR3-HHW-001,Hesta,Hesta Head Wind Farm
AR3-SEW-101,Seagreen,Seagreen Phase 1
AR3-SEW-102,Seagreen,Seagreen Phase 2
AR3-SEW-103,Seagreen,Seagreen Phase 3
AR3-SHB-101,Small,Small Heath Bio Power Limited
AR3-SOW-101,Sofia,Sofia Offshore Wind Farm Phase 1
AR3-SOW-102,Sofia,Sofia Offshore Wind Farm Phase 2
AR3-SOW-103,Sofia,Sofia Offshore Wind Farm Phase 3
AR3-UPL-123,Muaitheabhal,Muaitheabhal Wind Farm
AR4-ADS-700,Adstock,Adstock
AR4-ASF-700,Alfreton,Alfreton Solar Farm
AR4-AWF-610,Arecleoch,Arecleoch Wind Farm Extension
