station,technology,buyout_gbp
Drax Power Station,Biomass,6478643283
London Array Offshore Windfarm,Offshore Wind,2921810149
Greater Gabbard,Offshore Wind,2198286741
Gwynt y Mor,Offshore Wind,1930213898
West of Duddon Sands Offshore Wind Farm,Offshore Wind,1771953579
Race Bank,Offshore Wind,1750094370
Sheringham Shoal,Offshore Wind,1431951619
Thanet Offshore Wind Farm,Offshore Wind,1303265231
Lincs Wind Farm,Offshore Wind,1247317020
Galloper Wind Farm,Offshore Wind,1133757519
Rampion,Offshore Wind,1073161528
Walney Offshore Wind Phase II,Offshore Wind,974459099
Westermost Rough,Offshore Wind,951506226
Walney Offshore Wind Phase I,Offshore Wind,896126414
Humber Gateway Offshore Wind Farm,Offshore Wind,838364104
Ormonde Wind Farm,Offshore Wind,629891547
Whitelee Windfarm,Onshore Wind,472768538
Robin Rigg Offshore Wind Farm (East),Offshore Wind,366298883
Inner Dowsing Offshore Wind Farm,Offshore Wind,365970909
Lynn Offshore Wind Farm,Offshore Wind,360366128
Gunfleet Sands I,Offshore Wind,348766631
Burbo Offshore Windfarm - A (31/01/07),Offshore Wind,319013493
Robin Rigg Offshore Wind Farm (West),Offshore Wind,308281938
Rhyl Flats Wind farm,Offshore Wind,294062445
Clyde Windfarm (North),Onshore Wind,284952623
Clyde Windfarm (Central),Onshore Wind,265651890
PyC Wind Farm,Onshore Wind,265332522
Crystal Rig II Wind Farm,Onshore Wind,241081289
Fallago Rig,Onshore Wind,240179076
Kilgallioch,Onshore Wind,235606282
Gunfleet Sands II,Offshore Wind,224140180
Barrow Offshore Windfarm - A,Offshore Wind,223802630
Stronelairg Wind Farm,Onshore Wind,219505774
Teesside windfarm,Offshore Wind,217812986
Whitelee Windfarm Extension,Onshore Wind,213486005
"Kentish Flats Ltd - A,C",Offshore Wind,202691615
Clyde Windfarm (South),Onshore Wind,201828899
Griffin Wind Farm,Onshore Wind,199416426
Kentish Flats Extension Wind Farm,Offshore Wind,172386666
"Hadyard Hill Windfarm - A,C",Onshore Wind,169609524
Farr Wind farm ltd - A,Onshore Wind,156111426
North Hoyle Offshore Wind Farm  - A,Offshore Wind,155298836
"Black Law Windfarm - A,C",Onshore Wind,153231665
Arecleoch,Onshore Wind,145584884
"Pauls Hill Wind Farm - A,C,E",Onshore Wind,131684636
Harestanes Windfarm,Onshore Wind,126734451
Kilbraur Wind Farm,Onshore Wind,122196203
Slieve Rushen Phase II - A (23/10/2007),Onshore Wind,122131016
Millennium Wind Farm - A,Onshore Wind,119841731
Scout Moor Wind Farm,Onshore Wind,119675755
Blyth Offshore Demonstrator,Offshore Wind,119310117
Braes of Doune Windfarm (Scotland) Ltd  - A,Onshore Wind,119032093
Dunmaglass Wind Farm,Onshore Wind,110130816
Gordonbush Wind Farm,Onshore Wind,109754554
Aikengall Windfarm,Onshore Wind,108205891
Little Cheyne Court Wind Farm,Onshore Wind,103774925
Slieve Kirk Windfarm,Onshore Wind,96361247
Beinneun Wind Farm,Onshore Wind,95591959
Keadby Wind Farm,Onshore Wind,91033245
Camster Wind Farm,Onshore Wind,89496889
CEFN CROES,Onshore Wind,87549127
Fullabrook Wind Farm,Onshore Wind,87176239
Mid Hill Wind Farm,Onshore Wind,86594939
Scroby Sands Wind Farm,Offshore Wind,84404581
Aikengall II Windfarm,Onshore Wind,82021093
Bhlaraidh Wind Farm,Onshore Wind,80269010
"Rothes Wind Ltd - A, C, E",Onshore Wind,79512985
"Earlsburn Wind Farm - A,E",Onshore Wind,79273303
Causeymire Wind Farm,Onshore Wind,79157624
"Crystal Rig Windfarm - A,E",Onshore Wind,77800127
Middlemoor Wind Farm,Onshore Wind,76216560
Berry Burn Wind Farm,Onshore Wind,74893629
Baillie Wind farm,Onshore Wind,73364044
The Carraig Gheal Wind Farm,Onshore Wind,70921188
Windy Standard II (Brockloch Rig),Onshore Wind,69720817
Lochluichart Windfarm,Onshore Wind,69586961
Hill of Towie Wind Farm,Onshore Wind,68735261
Ardrossan Windfarm (Scotland) Ltd - A,Onshore Wind,68513605
Mark Hill Windfarm,Onshore Wind,68314830
Pant y Wal Wind Farm,Onshore Wind,67494468
Dersalloch,Onshore Wind,66522683
Edinbane Wind Farm,Onshore Wind,65865758
Corriegarth Wind Energy Centre,Onshore Wind,65166341
Minsca Windfarm,Onshore Wind,64762208
Brechfa Forest West Wind Farm,Onshore Wind,63291046
Rothes2 Wind Farm,Onshore Wind,62907535
Burnfoot,Onshore Wind,62447597
Tween Bridge Wind Farm,Onshore Wind,62446849
Fairburn Windfarm,Onshore Wind,61026173
Ben Aketil Wind Farm,Onshore Wind,60754522
Strathy North,Onshore Wind,60609115
Ray Wind Farm,Onshore Wind,59431063
Kelburn Wind Farm,Onshore Wind,59364948
Achany Windfarm,Onshore Wind,58770757
Longpark Wind Farm,Onshore Wind,58137130
Blackcraig Wind Farm,Onshore Wind,56579882
Green Knowes Windfarm,Onshore Wind,56308154
Galawhistle Windfarm Limited,Onshore Wind,56098413
Scroby Sands Wind Farm,Offshore Wind,55797905
Beinn an Tuirc Windfarm Extension,Onshore Wind,55138295
Green Rigg,Onshore Wind,54495571
Harburnhead Windfarm,Onshore Wind,53869855
Mynydd y Betws Wind Farm,Onshore Wind,53726651
Calder Water Windfarm,Onshore Wind,51401866
Crook Hill,Onshore Wind,50752222
Drumderg Windfarm,Onshore Wind,50729315
AFTON WIND FARM,Onshore Wind,50069361
Brockaghboy Full,Onshore Wind,49886212
Lissett Wind Farm,Onshore Wind,49849712
BLACK LAW EXTENSION,Onshore Wind,49748378
