station,bmu_id,source_url,note
Hornsea 1,T_HOWAO-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,HORNSEA_1A
Hornsea 1,T_HOWAO-2,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,HORNSEA_1B
Hornsea 1,T_HOWAO-3,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,HORNSEA_1C
Hornsea 2,T_HOWBO-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,HORNSEA_WF_2A
Hornsea 2,T_HOWBO-2,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,HORNSEA_WF_2B
Hornsea 2,T_HOWBO-3,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,HORNSEA_WF_2C
Walney Ext,T_WLNYO-3,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,WALNEY_3 (Extension Phase 1)
Walney Ext,T_WLNYO-4,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,WALNEY_4 (Extension Phase 2)
Drax,T_DRAXX-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,CfD is unit 1 only per LCCC register INV-DRX-001 "Drax 3rd conversion unit (unit 1)" (reference/cfd_stations.csv)
Dudgeon,T_DDGNO-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Dudgeon Generator BMU 1
Dudgeon,T_DDGNO-2,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Dudgeon Generator BMU 2
Dudgeon,T_DDGNO-3,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Dudgeon Generator BMU 3
Dudgeon,T_DDGNO-4,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Dudgeon Generator BMU 4
Beatrice,T_BEATO-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Beatrice Offshore WF 1
Beatrice,T_BEATO-2,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Beatrice Offshore WF 2
Beatrice,T_BEATO-3,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Beatrice Offshore WF 3
Beatrice,T_BEATO-4,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Beatrice Offshore WF 4
EA 1,T_EAAO-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,East Anglia One Offshore 1
EA 1,T_EAAO-2,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,East Anglia One Offshore 2
Lynemouth,E_LYNE1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,LYNEMOUTH GENERATOR 1
Lynemouth,E_LYNE2,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,LYNEMOUTH GENERATOR 2
Lynemouth,E_LYNE3,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,LYNEMOUTH GENERATOR 3
Burbo Bank Ext,T_BRBEO-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,BURBO_EXTENSION
Teesside,T_TSREP-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,MGT TEESIDE TEESREP MAIN
NNG,T_NNGAO-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Neart Na Gaiothe WF 1
NNG,T_NNGAO-2,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Neart Na Gaiothe WF 2
Triton Knoll,T_TKNEW-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Triton Knoll OSP East 1
Triton Knoll,T_TKNWW-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Triton Knoll OSP West 1
Dorenell,T_DOREW-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Dorenell Wind Farm One
Dorenell,T_DOREW-2,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Dorenell Wind Farm Two
Kype Muir,T_KPMRW-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,KYPE MUIR WIND FARM (not the KYPEW-1 extension)
Middle Muir,T_MIDMW-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,MIDDLE MUIR WIND FARM
Bad A Cheo,T_BDCHW-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Bad a Cheo Wind Farm
Coire,E_CNCLW-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Coire Na Cloiche WF (Statkraft) — matches LCCC AAA-COI-196
Moray East,T_MOWEO-1,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Moray East OWF1
Moray East,T_MOWEO-2,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Moray East OWF2
Moray East,T_MOWEO-3,https://data.elexon.co.uk/bmrs/api/v1/reference/bmunits/all,Moray East OWF3
