# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") — generated 2026-06-12 16:56 UTC
# Estimated share attributed to renewables — method: subsidyclock.co.uk/methodology#attr-bsuos
year,cost_gbp,cost_gbp_2024
2002,8785529.72,15424001.31
2003,3617571.06,6268255.46
2004,0.00,0.00
2005,231664082.69,387760158.55
2006,279328165.37,456052987.45
2007,269509043.93,429985017.26
2008,554521963.82,854941635.64
2009,345736434.11,522734608.57
2010,234192797.06,345440873.81
2011,364952313.77,518185496.79
2012,359451737.99,497615999.78
2013,461799108.95,624980667.81
2014,432010259.83,576447425.01
2015,492466000.37,654487314.49
2016,596175100.71,784471988.95
2017,0.00,0.00
2018,0.00,0.00
2019,84924391.02,104698066.48
2020,470411190.79,574083078.57
2021,1271988261.89,1514760215.10
2022,2149604268.58,2370808359.29
2023,981488223.89,1014306259.37
2024,866203325.91,866203325.91
2025,1195542771.71,1151359669.28
2026,391578932.20,377107536.88
