# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") · contains public sector information licensed under OGL v3.0 — generated 2026-06-28 06:52 UTC
# Estimated share attributed to renewables — method: subsidyclock.co.uk/methodology#indirect
year,cost_gbp,cost_gbp_2024
2016,5048474.70,6642992.95
2017,117562461.67,150811304.59
2018,549449341.35,688885070.43
2019,962991821.40,1187213479.26
2020,1005762270.75,1227417867.61
2021,1061708952.85,1264346951.92
2022,646942043.17,713515332.26
2023,898210217.37,928243684.98
2024,1256981395.40,1256981395.40
2025,1431463285.03,1378561381.02
2026,680683498.21,655527803.71
