# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") · contains public sector information licensed under OGL v3.0 — generated 2026-06-13 06:52 UTC
# Measured payments — derivation: subsidyclock.co.uk/explainers/cfd-nuclear-biomass
year,cost_gbp,cost_gbp_2024
2016,10265134.72,13507291.13
2017,247990324.56,318126584.31
2018,396149560.11,496681854.14
2019,408642931.58,503790775.57
2020,542693552.73,662295437.63
2021,406713293.06,484338679.64
2022,-52066026.06,-57423857.79
2023,-11619997.48,-12008535.50
2024,398314886.48,398314886.48
2025,553495321.92,533040060.02
2026,249800715.90,240568950.31
