# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") · contains public sector information licensed under OGL v3.0 — generated 2026-08-13 07:01 UTC
# Measured payments — derivation: subsidyclock.co.uk/explainers/contracts-for-difference
year,cost,cost_real
2016,10537629.76,13865851.44
2017,420436617.66,539343885.01
2018,903131414.20,1132322310.82
2019,1496214745.83,1844591277.56
2020,2296211317.53,2802263398.53
2021,996680396.34,1186907031.13
2022,-345536697.85,-381094001.20
2023,1393617066.92,1440215460.29
2024,2360229560.40,2360229560.40
2025,2640207187.48,2542634313.16
2026,1423035124.38,1370444695.87
