# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") · contains public sector information licensed under OGL v3.0 — generated 2026-07-15 22:25 UTC
# Estimated share attributed to renewables — method: subsidyclock.co.uk/methodology#attr-ccl
year,cost,cost_real
2002,622900000.00,1093572126.82
2003,621400000.00,1076715254.24
2004,570700000.00,974884704.37
2005,533200000.00,892472040.30
2006,525400000.00,857809090.91
2007,513900000.00,819895678.27
2008,542200000.00,835944083.53
2009,529400000.00,800423890.78
2010,484700000.00,714945948.95
2011,499000000.00,708516025.64
2012,447300000.00,619230937.50
2013,309800000.00,419271079.43
2014,1150500000.00,1535155120.48
2015,1506200000.00,2001739800.00
2016,1626700000.00,2140479504.95
2017,1628400000.00,2088941698.84
2018,1632000000.00,2046158490.57
2019,1810400000.00,2231930983.30
2020,1470200000.00,1794211019.28
2021,1499200000.00,1785337634.41
2022,1606600000.00,1771926473.03
2023,1465000000.00,1513985225.51
2024,1253000000.00,1253000000.00
