# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") · contains public sector information licensed under OGL v3.0 — generated 2026-06-16 07:21 UTC
# Mixes measured and estimated series — see subsidyclock.co.uk/methodology#indirect
year,cfd_renewable_gbp,constraints_gbp,capacity_market_gbp,ro_gbp,fit_gbp,ccl_gbp,ets_gbp,tnuos_gbp,bsuos_gbp
2002,,,,250000000.00,,622900000.00,,19767441.86,8785529.72
2003,,,,400000000.00,,621400000.00,,8139534.88,3617571.06
2004,,,,490000000.00,,570700000.00,,0.00,0.00
2005,,,,580000000.00,,533200000.00,,0.00,231664082.69
2006,,,,720000000.00,,525400000.00,,53488372.09,279328165.37
2007,,,,870000000.00,,513900000.00,,31395348.84,269509043.93
2008,,,,1030000000.00,,542200000.00,,397674418.60,554521963.82
2009,,,,1110000000.00,,529400000.00,50000000.00,577906976.74,345736434.11
2010,,174128.00,,1280000000.00,15000000.00,484700000.00,100000000.00,552325581.40,234192797.06
2011,,12826756.00,,1450000000.00,155000000.00,499000000.00,150000000.00,511627906.98,364952313.77
2012,,5924231.00,,1980000000.00,525000000.00,447300000.00,30700000.00,483720930.23,359451737.99
2013,,32707351.00,,2590000000.00,718000000.00,309800000.00,173900000.00,1058139534.88,461799108.95
2014,,53261058.00,,3110000000.00,895000000.00,1150500000.00,156100000.00,1341860465.12,432010259.83
2015,,90738134.00,,3740000000.00,1151000000.00,1506200000.00,206000000.00,1437209302.33,492466000.37
2016,10537629.76,81861075.00,5048474.70,4490000000.00,1375000000.00,1626700000.00,155500000.00,1525581395.35,596175100.71
2017,420436617.66,108247860.00,117562461.67,5300000000.00,1491000000.00,1628400000.00,264700000.00,1395348837.21,0.00
2018,903131414.20,124649106.00,549449341.35,5920000000.00,1529000000.00,1632000000.00,710900000.00,1467441860.47,0.00
2019,1496214745.83,138992769.00,962991821.40,6310000000.00,1732000000.00,1810400000.00,100600000.00,1546511627.91,84924391.02
2020,2296211317.53,274161002.00,1005762270.75,5730000000.00,1764000000.00,1470200000.00,1106500000.00,1533720930.23,470411190.79
2021,996680396.34,143342294.00,1061708952.85,6360000000.00,1575000000.00,1499200000.00,2522200000.00,2002325581.40,1271988261.89
2022,-345536697.85,227183472.00,646942043.17,6430000000.00,1606000000.00,1606600000.00,2650500000.00,2192837209.30,2149604268.58
2023,1393617066.92,310482753.00,898210217.37,6750000000.00,1858000000.00,1465000000.00,1305800000.00,2918651162.79,981488223.89
2024,2360184560.35,394302243.00,1256981395.40,7700000000.00,1844000000.00,1253000000.00,895600000.00,2643151162.79,866203325.91
2025,2639605954.17,382108509.00,1431463285.03,,,,,,1195542771.71
2026,1181525457.93,114407508.90,680683498.21,,,,,,368960148.37
