# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") · contains public sector information licensed under OGL v3.0 — generated 2026-06-23 06:51 UTC
# Measured payments — derivation: subsidyclock.co.uk/explainers/constraints
year,cost_gbp,cost_gbp_2024
2010,174128.00,256843.63
2011,12826756.00,18212349.06
2012,5924231.00,8201357.29
2013,32707351.00,44264836.54
2014,53261058.00,71068218.96
2015,90738134.00,120590980.09
2016,81861075.00,107716206.61
2017,108247860.00,138862360.95
2018,124649106.00,156281756.48
2019,138992769.00,171355649.35
2020,274161002.00,334582159.47
2021,143342294.00,170700635.06
2022,227183472.00,250561688.21
2023,310482753.00,320864369.16
2024,394302243.00,394302243.00
2025,382108509.00,367987107.58
2026,149319896.84,143801552.82
