# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") · contains public sector information licensed under OGL v3.0 — generated 2026-06-28 06:52 UTC
# Estimated share attributed to renewables — method: subsidyclock.co.uk/methodology#attr-ets
year,cost_gbp,cost_gbp_2024
2009,50000000.00,75597269.62
2010,100000000.00,147502774.69
2011,150000000.00,212980769.23
2012,30700000.00,42500312.50
2013,173900000.00,235349389.00
2014,156100000.00,208290060.24
2015,206000000.00,273774000.00
2016,155500000.00,204613366.34
2017,264700000.00,339562065.64
2018,710900000.00,891307641.51
2019,100600000.00,124023562.15
2020,1106500000.00,1350356749.31
2021,2522200000.00,3003587634.41
2022,2650500000.00,2923248547.72
2023,1305800000.00,1349462052.88
2024,895600000.00,895600000.00
