# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") · contains public sector information licensed under OGL v3.0 — generated 2026-07-07 08:51 UTC
# Measured payments — derivation: subsidyclock.co.uk/explainers/feed-in-tariffs
year,cost_gbp,cost_gbp_2024
2010,15000000.00,22125416.20
2011,155000000.00,220080128.21
2012,525000000.00,726796875.00
2013,718000000.00,971712830.96
2014,895000000.00,1194231927.71
2015,1151000000.00,1529679000.00
2016,1375000000.00,1809282178.22
2017,1491000000.00,1912682432.43
2018,1529000000.00,1917019811.32
2019,1732000000.00,2135276437.85
2020,1764000000.00,2152760330.58
2021,1575000000.00,1875604838.71
2022,1606000000.00,1771264730.29
2023,1858000000.00,1920125972.01
2024,1844000000.00,1844000000.00
