# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") · contains public sector information licensed under OGL v3.0 — generated 2026-07-02 06:49 UTC
# Measured payments — derivation: subsidyclock.co.uk/explainers/renewables-obligation
year,cost_gbp,cost_gbp_2024
2002,250000000.00,438903566.71
2003,400000000.00,693089960.89
2004,490000000.00,837030848.33
2005,580000000.00,970806045.34
2006,720000000.00,1175528255.53
2007,870000000.00,1388031212.48
2008,1030000000.00,1588016241.30
2009,1110000000.00,1678259385.67
2010,1280000000.00,1888035516.09
2011,1450000000.00,2058814102.56
2012,1980000000.00,2741062500.00
2013,2590000000.00,3505203665.99
2014,3110000000.00,4149789156.63
2015,3740000000.00,4970460000.00
2016,4490000000.00,5908128712.87
2017,5300000000.00,6798938223.94
2018,5920000000.00,7422339622.64
2019,6310000000.00,7779211502.78
2020,5730000000.00,6992809917.36
2021,6360000000.00,7573870967.74
2022,6430000000.00,7091676348.55
2023,6750000000.00,6975699844.48
2024,7700000000.00,7700000000.00
