# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") · contains public sector information licensed under OGL v3.0 — generated 2026-07-05 08:28 UTC
# Source revisions log — every restatement the engine has recorded: subsidyclock.co.uk/data
scheme,table,detected_at,partition,previous_version,new_version
bsuos,daily,2026-06-10T06:31:04.650394+00:00,2026-2027,20260610T063012.224599,20260610T063104.650394
bsuos,daily,2026-06-11T20:16:37.478821+00:00,2026-2027,20260610T063104.650394,20260611T201637.478821
bsuos,daily,2026-06-12T23:54:05.897636+00:00,2026-2027,20260612T070459.204636,20260612T235405.897636
bsuos,daily,2026-06-13T06:51:26.739752+00:00,2026-2027,20260612T235405.897636,20260613T065126.739752
bsuos,daily,2026-06-14T07:05:43.017262+00:00,2026-2027,20260613T065126.739752,20260614T070543.017262
bsuos,daily,2026-06-15T07:20:19.637716+00:00,2026-2027,20260614T070543.017262,20260615T072019.637716
bsuos,daily,2026-06-15T20:36:50.079966+00:00,2026-2027,20260615T072019.637716,20260615T203650.079966
bsuos,daily,2026-06-17T07:18:49.502822+00:00,2026-2027,20260616T072110.071889,20260617T071849.502822
bsuos,daily,2026-06-18T07:11:17.787284+00:00,2026-2027,20260617T071849.502822,20260618T071117.787284
bsuos,daily,2026-06-19T07:18:37.998884+00:00,2026-2027,20260618T071117.787284,20260619T071837.998884
bsuos,daily,2026-06-20T06:52:00.377922+00:00,2026-2027,20260619T071837.998884,20260620T065200.377922
bsuos,daily,2026-06-21T07:11:10.468710+00:00,2026-2027,20260620T065200.377922,20260621T071110.468710
bsuos,daily,2026-06-22T07:20:41.509755+00:00,2026-2027,20260621T071110.468710,20260622T072041.509755
bsuos,daily,2026-06-23T06:50:12.191791+00:00,2026-2027,20260622T072041.509755,20260623T065012.191791
bsuos,daily,2026-06-24T06:49:31.180893+00:00,2026-2027,20260623T104036.941709,20260624T064931.180893
bsuos,daily,2026-06-25T06:49:19.758790+00:00,2026-2027,20260624T064931.180893,20260625T064919.758790
bsuos,daily,2026-06-26T06:50:33.551270+00:00,2026-2027,20260625T064919.758790,20260626T065033.551270
bsuos,daily,2026-06-27T06:39:41.588125+00:00,2026-2027,20260626T065033.551270,20260627T063941.588125
bsuos,daily,2026-06-30T06:51:00.007240+00:00,2026-2027,20260629T070950.968453,20260630T065100.007240
capacity_market,payments,2026-06-12T07:04:57.421142+00:00,full,20260611T201635.344897,20260612T070457.421142
cfd,generation,2026-06-11T20:16:05.932945+00:00,full,20260610T063039.024285,20260611T201605.932945
cfd,generation,2026-06-12T07:04:39.717223+00:00,full,20260611T201605.932945,20260612T070439.717223
cfd,generation,2026-06-13T06:50:54.747369+00:00,full,20260612T070439.717223,20260613T065054.747369
cfd,generation,2026-06-15T07:19:47.946389+00:00,full,20260614T070521.943281,20260615T071947.946389
cfd,generation,2026-06-17T07:18:27.166018+00:00,full,20260616T072048.125198,20260617T071827.166018
cfd,generation,2026-06-18T07:10:53.713827+00:00,full,20260617T071827.166018,20260618T071053.713827
cfd,generation,2026-06-19T07:18:18.207575+00:00,full,20260618T071053.713827,20260619T071818.207575
cfd,generation,2026-06-20T06:51:29.264839+00:00,full,20260619T071818.207575,20260620T065129.264839
cfd,generation,2026-06-23T06:49:38.468211+00:00,full,20260622T072011.378560,20260623T064938.468211
cfd,generation,2026-06-24T06:49:12.047297+00:00,full,20260623T104010.646661,20260624T064912.047297
cfd,generation,2026-06-25T06:48:55.749296+00:00,full,20260624T064912.047297,20260625T064855.749296
cfd,generation,2026-06-26T06:50:10.427361+00:00,full,20260625T064855.749296,20260626T065010.427361
cfd,generation,2026-06-27T06:39:19.428039+00:00,full,20260626T065010.427361,20260627T063919.428039
cfd,generation,2026-06-30T06:50:29.248144+00:00,full,20260629T070920.653999,20260630T065029.248144
cfd,generation,2026-07-01T06:57:42.736684+00:00,full,20260630T065029.248144,20260701T065742.736684
cfd,generation,2026-07-02T06:47:48.405000+00:00,full,20260701T065742.736684,20260702T064748.405000
cfd,generation,2026-07-03T08:36:02.554680+00:00,full,20260702T064748.405000,20260703T083602.554680
cfd,generation,2026-07-04T08:11:50.371688+00:00,full,20260703T083602.554680,20260704T081150.371688
cfd,tracking,2026-06-17T07:18:28.498175+00:00,full,20260616T072049.119187,20260617T071828.498175
cfd,tracking,2026-06-23T10:40:11.962719+00:00,full,20260623T064939.973664,20260623T104011.962719
cfd,tracking,2026-07-01T06:57:44.129992+00:00,full,20260630T065030.661879,20260701T065744.129992
constraints,daily,2026-06-23T06:49:57.929540+00:00,2026-06-21,20260622T072037.280366,20260623T064957.929540
constraints,daily,2026-06-26T06:50:24.388371+00:00,2026-06-24,20260625T064917.236714,20260626T065024.388371
constraints,daily,2026-07-02T06:47:58.149959+00:00,2026-06-29,20260701T065758.310743,20260702T064758.149959
