# The Subsidy Clock — subsidyclock.co.uk
# Licence: CC BY 4.0 (credit "The Subsidy Clock — subsidyclock.co.uk") · contains public sector information licensed under OGL v3.0 — generated 2026-07-19 07:41 UTC
# Estimated share attributed to renewables — method: subsidyclock.co.uk/methodology#attr-tnuos
year,cost,cost_real
2002,19767441.86,34704002.95
2003,8139534.88,14103574.79
2004,0.00,0.00
2005,0.00,0.00
2006,53488372.09,87329295.47
2007,31395348.84,50089338.06
2008,397674418.60,613119840.28
2009,577906976.74,873763790.78
2010,552325581.40,814695557.91
2011,511627906.98,726446034.59
2012,483720930.23,669651162.79
2013,1054739534.88,1427442812.49
2014,1366160465.12,1822918933.88
2015,1473909302.33,1958825462.79
2016,1534281395.35,2018871261.80
2017,1426848837.21,1830388131.90
2018,1437741860.47,1802602766.56
2019,1583911627.91,1952707378.00
2020,1576720930.23,1924207636.62
2021,2296325581.40,2734602775.69
2022,2192837209.30,2418490166.94
2023,2921051162.79,3018722391.41
2024,2643151162.79,2643151162.79
